2026-09-18 08:10:04.591 +03:00 [INF] Now listening on: https://localhost:7015
2026-09-18 08:10:04.644 +03:00 [INF] Now listening on: http://localhost:5070
2026-09-18 08:10:04.654 +03:00 [INF] Application started. Press Ctrl+C to shut down.
2026-09-18 08:44:07.401 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:44:07.401 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:44:07.402 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:44:07.405 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:44:07.405 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:44:07.406 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.783 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 20 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.784 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 19 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.819 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.812 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.793 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 28 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.823 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 57 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.826 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.836 +03:00 [INF] HTTP OPTIONS /api/reviews/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.844 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 7 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.875 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.870 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:56:38.851 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.049 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.049 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.050 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.057 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 9 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.057 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.058 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.065 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.071 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.991 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:17.999 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.002 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.010 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.017 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 6 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.025 +03:00 [INF] HTTP OPTIONS /api/reviews/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.035 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.043 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 6 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.052 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.053 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
